Epoch: 2 [29000/60000(48.3%)]	Loss: 0.009604	Accuracy:98.60%
Epoch: 2 [29500/60000(49.2%)]	Loss: 0.021179	Accuracy:98.20%
Epoch: 2 [30000/60000(50.0%)]	Loss: 0.004595	Accuracy:97.80%
Epoch: 2 [30500/60000(50.8%)]	Loss: 0.008268	Accuracy:97.60%
Epoch: 2 [31000/60000(51.7%)]	Loss: 0.001750	Accuracy:99.40%
Epoch: 2 [31500/60000(52.5%)]	Loss: 0.000970	Accuracy:99.00%
Epoch: 2 [32000/60000(53.3%)]	Loss: 0.081283	Accuracy:98.60%
Epoch: 2 [32500/60000(54.2%)]	Loss: 0.011994	Accuracy:98.60%
Epoch: 2 [33000/60000(55.0%)]	Loss: 0.015294	Accuracy:98.40%
Epoch: 2 [33500/60000(55.8%)]	Loss: 0.001948	Accuracy:98.80%
Epoch: 2 [34000/60000(56.7%)]	Loss: 0.000572	Accuracy:99.20%
Epoch: 2 [34500/60000(57.5%)]	Loss: 0.005316	Accuracy:98.60%
Epoch: 2 [35000/60000(58.3%)]	Loss: 0.009380	Accuracy:98.00%
Epoch: 2 [35500/60000(59.2%)]	Loss: 0.009928	Accuracy:98.60%
Epoch: 2 [36000/60000(60.0%)]	Loss: 0.130783	Accuracy:98.40%
Epoch: 2 [36500/60000(60.8%)]	Loss: 0.005620	Accuracy:98.40%
Epoch: 2 [37000/60000(61.7%)]	Loss: 0.011177	Accuracy:98.00%
Epoch: 2 [37500/60000(62.5%)]	Loss: 0.000548	Accuracy:98.60%
Epoch: 2 [38000/60000(63.3%)]	Loss: 0.000457	Accuracy:98.80%
Epoch: 2 [38500/60000(64.2%)]	Loss: 0.001832	Accuracy:99.00%
Epoch: 2 [39000/60000(65.0%)]	Loss: 0.001128	Accuracy:99.20%
Epoch: 2 [39500/60000(65.8%)]	Loss: 0.004653	Accuracy:97.60%
Epoch: 2 [40000/60000(66.7%)]	Loss: 0.000682	Accuracy:98.60%
Epoch: 2 [40500/60000(67.5%)]	Loss: 0.009297	Accuracy:97.80%
Epoch: 2 [41000/60000(68.3%)]	Loss: 0.004519	Accuracy:97.80%
Epoch: 2 [41500/60000(69.2%)]	Loss: 0.561777	Accuracy:97.80%
Epoch: 2 [42000/60000(70.0%)]	Loss: 0.011829	Accuracy:98.00%
Epoch: 2 [42500/60000(70.8%)]	Loss: 0.000840	Accuracy:99.40%
Epoch: 2 [43000/60000(71.7%)]	Loss: 0.459071	Accuracy:98.20%
Epoch: 2 [43500/60000(72.5%)]	Loss: 0.034284	Accuracy:97.60%
Epoch: 2 [44000/60000(73.3%)]	Loss: 0.006145	Accuracy:98.80%
Epoch: 2 [44500/60000(74.2%)]	Loss: 0.194592	Accuracy:98.00%
Epoch: 2 [45000/60000(75.0%)]	Loss: 0.001479	Accuracy:99.40%
Epoch: 2 [45500/60000(75.8%)]	Loss: 0.028079	Accuracy:98.80%
Epoch: 2 [46000/60000(76.7%)]	Loss: 0.074245	Accuracy:98.60%
Epoch: 2 [46500/60000(77.5%)]	Loss: 0.005000	Accuracy:98.20%
Epoch: 2 [47000/60000(78.3%)]	Loss: 0.002732	Accuracy:98.60%
Epoch: 2 [47500/60000(79.2%)]	Loss: 0.001041	Accuracy:99.00%
Epoch: 2 [48000/60000(80.0%)]	Loss: 0.002153	Accuracy:99.20%
Epoch: 2 [48500/60000(80.8%)]	Loss: 0.005677	Accuracy:99.80%
Epoch: 2 [49000/60000(81.7%)]	Loss: 0.013652	Accuracy:98.40%
Epoch: 2 [49500/60000(82.5%)]	Loss: 0.008387	Accuracy:99.20%
Epoch: 2 [50000/60000(83.3%)]	Loss: 0.001507	Accuracy:98.80%
Epoch: 2 [50500/60000(84.2%)]	Loss: 0.496860	Accuracy:98.20%
Epoch: 2 [51000/60000(85.0%)]	Loss: 0.006529	Accuracy:97.60%
Epoch: 2 [51500/60000(85.8%)]	Loss: 0.003787	Accuracy:98.40%
Epoch: 2 [52000/60000(86.7%)]	Loss: 0.019001	Accuracy:98.20%
Epoch: 2 [52500/60000(87.5%)]	Loss: 0.045310	Accuracy:99.00%
Epoch: 2 [53000/60000(88.3%)]	Loss: 0.002459	Accuracy:98.20%
Epoch: 2 [53500/60000(89.2%)]	Loss: 0.000273	Accuracy:98.20%
Epoch: 2 [54000/60000(90.0%)]	Loss: 0.004842	Accuracy:98.00%
Epoch: 2 [54500/60000(90.8%)]	Loss: 0.004032	Accuracy:98.20%
Epoch: 2 [55000/60000(91.7%)]	Loss: 0.004848	Accuracy:99.20%
Epoch: 2 [55500/60000(92.5%)]	Loss: 0.499068	Accuracy:98.00%
Epoch: 2 [56000/60000(93.3%)]	Loss: 0.131516	Accuracy:98.20%
Epoch: 2 [56500/60000(94.2%)]	Loss: 0.000137	Accuracy:99.20%
Epoch: 2 [57000/60000(95.0%)]	Loss: 0.000662	Accuracy:98.40%
Epoch: 2 [57500/60000(95.8%)]	Loss: 0.001129	Accuracy:98.80%
Epoch: 2 [58000/60000(96.7%)]	Loss: 0.008834	Accuracy:98.40%
Epoch: 2 [58500/60000(97.5%)]	Loss: 0.001251	Accuracy:99.40%
Epoch: 2 [59000/60000(98.3%)]	Loss: 0.001306	Accuracy:99.20%
Epoch: 2 [59500/60000(99.2%)]	Loss: 0.026513	Accuracy:99.00%
Epoch: 2 [Assert]	Accuracy: 98.81%
Epoch: 3 [0/60000(0.0%)]	Loss: 0.006753	Accuracy:2.00%
Epoch: 3 [500/60000(0.8%)]	Loss: 0.003464	Accuracy:98.80%
Epoch: 3 [1000/60000(1.7%)]	Loss: 0.020456	Accuracy:98.60%
Epoch: 3 [1500/60000(2.5%)]	Loss: 0.281303	Accuracy:99.00%
Epoch: 3 [2000/60000(3.3%)]	Loss: 0.058846	Accuracy:98.00%
Epoch: 3 [2500/60000(4.2%)]	Loss: 0.177812	Accuracy:99.40%
Epoch: 3 [3000/60000(5.0%)]	Loss: 0.011198	Accuracy:98.60%
Epoch: 3 [3500/60000(5.8%)]	Loss: 0.000405	Accuracy:99.20%
Epoch: 3 [4000/60000(6.7%)]	Loss: 0.001216	Accuracy:99.40%
Epoch: 3 [4500/60000(7.5%)]	Loss: 0.001095	Accuracy:99.20%
Epoch: 3 [5000/60000(8.3%)]	Loss: 0.005397	Accuracy:98.20%
Epoch: 3 [5500/60000(9.2%)]	Loss: 0.009984	Accuracy:99.20%
Epoch: 3 [6000/60000(10.0%)]	Loss: 0.021010	Accuracy:98.60%
Epoch: 3 [6500/60000(10.8%)]	Loss: 0.005006	Accuracy:99.20%
Epoch: 3 [7000/60000(11.7%)]	Loss: 0.036022	Accuracy:99.00%
Epoch: 3 [7500/60000(12.5%)]	Loss: 0.001679	Accuracy:99.60%
Epoch: 3 [8000/60000(13.3%)]	Loss: 0.075592	Accuracy:99.00%
Epoch: 3 [8500/60000(14.2%)]	Loss: 0.006392	Accuracy:98.80%
Epoch: 3 [9000/60000(15.0%)]	Loss: 0.006294	Accuracy:98.80%
Epoch: 3 [9500/60000(15.8%)]	Loss: 0.102432	Accuracy:98.60%
Epoch: 3 [10000/60000(16.7%)]	Loss: 0.106479	Accuracy:98.00%
Epoch: 3 [10500/60000(17.5%)]	Loss: 0.000842	Accuracy:98.40%
Epoch: 3 [11000/60000(18.3%)]	Loss: 0.000928	Accuracy:98.40%
Epoch: 3 [11500/60000(19.2%)]	Loss: 0.168550	Accuracy:98.40%
Epoch: 3 [12000/60000(20.0%)]	Loss: 0.022237	Accuracy:98.80%
